iter	Logloss
0	0.6822078511
1	0.6686611921
2	0.6553152945
3	0.643275387
4	0.6341673486
5	0.6237757454
6	0.6147732881
7	0.6052529199
8	0.5987586373
9	0.5913825665
10	0.584395132
11	0.5812898479
12	0.5730015984
13	0.5681701305
14	0.5617157261
15	0.5565679713
16	0.5502282806
17	0.5457769253
18	0.5438073619
19	0.5390239408
20	0.5339160136
21	0.5276908335
22	0.5224111657
23	0.519588277
24	0.5159373295
25	0.5124097715
26	0.5091243753
27	0.5037176143
28	0.5000836633
29	0.4956208924
30	0.4920109902
31	0.4889380248
32	0.4864999671
33	0.4785463202
34	0.4751120652
35	0.4702441183
36	0.466764607
37	0.4650998643
38	0.461399906
39	0.4579172491
40	0.4564157234
41	0.4531056189
42	0.449295564
43	0.4465591798
44	0.4399088846
45	0.4376890416
46	0.4366540314
47	0.434712322
48	0.4315480829
49	0.4298648216
50	0.4266549711
51	0.4256687688
52	0.4232637147
53	0.4211690876
54	0.4192187023
55	0.4191619797
56	0.4178205
57	0.4149612084
58	0.4113676685
59	0.4094095714
60	0.4074392977
61	0.4037290908
62	0.4030108495
63	0.4018428355
64	0.3985993725
65	0.3973921398
66	0.3945625794
67	0.3939924866
68	0.3899017359
69	0.3853239724
70	0.3839728783
71	0.3822887291
72	0.3812444597
73	0.3799380638
74	0.3773283669
75	0.3759139038
76	0.3741449497
77	0.3731403303
78	0.3730959111
79	0.3703655899
80	0.3697340562
81	0.3671406201
82	0.3655852891
83	0.3632762272
84	0.3625074531
85	0.3617507034
86	0.3586156882
87	0.3565518577
88	0.3555231388
89	0.3535432253
90	0.3518832263
91	0.3491999879
92	0.3455893754
93	0.3442584741
94	0.3429754167
95	0.3411678019
96	0.3387338792
97	0.3337449528
98	0.3324541836
99	0.3320085457
100	0.3300026555
101	0.3290536679
102	0.3285876597
103	0.3282593737
104	0.3270037644
105	0.3264966602
106	0.3248626633
107	0.3235206255
108	0.3223864269
109	0.3207616386
110	0.3193219344
111	0.3170266472
112	0.31540021
113	0.3143850883
114	0.3137992929
115	0.3133155525
116	0.3120328248
117	0.3119483751
118	0.3096953509
119	0.3086413909
120	0.3065624919
121	0.3062142414
122	0.3054174612
123	0.3040581479
124	0.3019386856
125	0.3016644586
126	0.301192489
127	0.3008412958
128	0.3003962668
129	0.2999059308
130	0.2993298766
131	0.2984091235
132	0.2975386749
133	0.2954139614
134	0.2922466275
135	0.2908121237
136	0.2900556277
137	0.2898153177
138	0.2894915726
139	0.2873572954
140	0.2851887463
141	0.2831609889
142	0.2824313829
143	0.2821307226
144	0.2806267362
145	0.2781593025
146	0.2771814969
147	0.2771224912
148	0.2766242658
149	0.27658974
150	0.2729350888
151	0.2725151741
152	0.2720934835
153	0.2707099439
154	0.2702423628
155	0.2699132905
156	0.2688362458
157	0.2673198798
158	0.2657587395
159	0.2655874555
160	0.2655471206
161	0.2652055926
162	0.2630854454
163	0.2628323499
164	0.2619131442
165	0.2605024863
166	0.2590223964
167	0.258710625
168	0.2565200311
169	0.2554590189
170	0.2544396354
171	0.2537743116
172	0.2529498296
173	0.2521870677
174	0.2511880039
175	0.2506805445
176	0.2490571768
177	0.2479169406
178	0.2470701603
179	0.2467040255
180	0.2459435721
181	0.2449172124
182	0.2431612467
183	0.2409331337
184	0.2400771702
185	0.239309284
186	0.2392889896
187	0.2389609574
188	0.237851873
189	0.2376579608
190	0.2363549389
191	0.2359260439
192	0.2348236566
193	0.2345556194
194	0.2322673084
195	0.2319701743
196	0.2318073885
197	0.2310381324
198	0.2299230612
199	0.2273756425
200	0.2272362713
201	0.2249101368
202	0.223050188
203	0.2227145962
204	0.2215306765
205	0.2213589358
206	0.2211103812
207	0.2210040643
208	0.2205892993
209	0.2184097404
210	0.2171337099
211	0.2163194005
212	0.216228761
213	0.2159932454
214	0.2159459343
215	0.2142003948
216	0.212881797
217	0.2124528132
218	0.2118170176
