iter	Passed	Remaining
0	22	22085
1	43	21473
2	64	21387
3	85	21370
4	106	21217
5	126	21029
6	148	21027
7	169	21062
8	187	20643
9	207	20510
10	227	20468
11	239	19705
12	261	19867
13	276	19487
14	297	19549
15	318	19595
16	340	19678
17	362	19756
18	373	19266
19	388	19036
20	409	19071
21	425	18902
22	445	18903
23	457	18609
24	473	18465
25	494	18521
26	515	18564
27	537	18656
28	558	18707
29	580	18754
30	600	18763
31	620	18777
32	632	18545
33	653	18565
34	673	18579
35	694	18603
36	716	18638
37	729	18455
38	749	18473
39	764	18358
40	781	18268
41	801	18286
42	821	18289
43	842	18301
44	863	18318
45	883	18332
46	895	18157
47	916	18178
48	938	18211
49	959	18224
50	980	18250
51	996	18170
52	1012	18090
53	1034	18124
54	1055	18132
55	1066	17977
56	1084	17944
57	1104	17934
58	1124	17939
59	1145	17944
60	1165	17944
61	1186	17946
62	1196	17789
63	1215	17775
64	1237	17802
65	1258	17805
66	1279	17814
67	1290	17686
68	1311	17697
69	1333	17717
70	1350	17667
71	1369	17650
72	1389	17641
73	1405	17590
74	1423	17560
75	1444	17566
76	1465	17568
77	1486	17568
78	1497	17459
79	1519	17468
80	1531	17378
81	1552	17384
82	1573	17380
83	1593	17380
84	1614	17375
85	1635	17378
86	1655	17372
87	1677	17379
88	1699	17397
89	1720	17397
90	1742	17407
91	1763	17409
92	1785	17414
93	1805	17397
94	1826	17395
95	1846	17390
96	1867	17385
97	1888	17377
98	1909	17375
99	1929	17366
100	1950	17358
101	1970	17344
102	1991	17341
103	2002	17252
104	2022	17241
105	2033	17149
106	2054	17149
107	2070	17104
108	2090	17087
109	2108	17060
110	2129	17053
111	2150	17047
112	2170	17036
113	2190	17027
114	2211	17020
115	2231	17008
116	2252	16997
117	2260	16898
118	2281	16890
119	2302	16882
120	2322	16873
121	2334	16799
122	2354	16787
123	2373	16768
124	2393	16756
125	2405	16686
126	2426	16676
127	2440	16624
128	2460	16615
129	2481	16606
130	2502	16597
131	2522	16588
132	2543	16578
133	2563	16567
134	2584	16557
135	2602	16532
136	2622	16517
137	2641	16502
138	2654	16444
139	2675	16432
140	2695	16423
141	2716	16415
142	2737	16405
143	2757	16394
144	2778	16383
145	2799	16373
146	2819	16360
147	2827	16278
148	2847	16265
149	2856	16187
150	2876	16175
151	2897	16164
152	2917	16152
153	2938	16143
154	2958	16129
155	2979	16117
156	2998	16102
157	3017	16078
158	3037	16067
159	3049	16010
160	3061	15952
161	3079	15928
162	3100	15918
163	3112	15865
164	3132	15853
165	3153	15843
166	3174	15834
167	3195	15824
168	3215	15812
169	3236	15801
170	3256	15787
171	3277	15777
172	3292	15739
173	3313	15730
174	3334	15718
175	3355	15710
176	3376	15701
177	3397	15691
178	3418	15679
179	3430	15627
180	3451	15615
181	3471	15601
182	3491	15589
183	3512	15578
184	3533	15565
185	3554	15554
186	3562	15490
187	3583	15477
188	3605	15470
189	3616	15417
190	3637	15406
191	3658	15394
192	3678	15382
193	3693	15345
194	3713	15331
195	3734	15318
196	3754	15305
197	3766	15258
198	3784	15233
199	3805	15220
200	3825	15208
201	3846	15194
202	3867	15182
203	3887	15169
204	3908	15156
205	3928	15143
206	3949	15128
207	3963	15093
208	3984	15080
209	4004	15066
210	4025	15053
211	4046	15039
212	4059	14997
213	4077	14976
214	4088	14929
215	4109	14915
216	4129	14901
217	4150	14887
218	4170	14873
219	4191	14859
220	4198	14800
221	4219	14788
222	4240	14774
223	4260	14760
224	4281	14746
225	4301	14730
226	4318	14706
227	4338	14689
228	4350	14648
229	4371	14634
230	4390	14617
231	4399	14564
232	4412	14524
233	4430	14502
234	4449	14484
235	4468	14465
236	4488	14451
237	4508	14434
238	4529	14421
239	4549	14407
240	4570	14394
241	4591	14380
242	4611	14366
243	4631	14351
244	4644	14312
245	4663	14293
246	4682	14274
247	4693	14232
248	4713	14217
249	4732	14197
250	4751	14177
251	4772	14165
252	4792	14150
253	4813	14136
254	4833	14122
255	4845	14082
256	4866	14069
257	4886	14052
258	4905	14034
259	4923	14014
260	4935	13975
261	4947	13935
262	4967	13918
263	4986	13902
264	5007	13888
265	5023	13862
266	5043	13845
267	5054	13804
268	5068	13774
269	5088	13757
270	5108	13741
271	5127	13723
272	5136	13679
273	5157	13664
274	5176	13648
275	5198	13637
276	5218	13621
277	5238	13604
278	5257	13586
279	5277	13569
280	5297	13553
281	5318	13541
282	5329	13502
283	5350	13488
284	5369	13471
285	5388	13453
286	5408	13437
287	5421	13402
288	5441	13388
289	5462	13374
290	5483	13359
291	5503	13343
292	5511	13300
293	5521	13258
294	5540	13241
295	5554	13211
296	5570	13186
297	5592	13174
298	5611	13156
299	5632	13143
300	5644	13107
301	5665	13093
302	5683	13074
303	5703	13057
304	5724	13043
305	5744	13027
306	5766	13015
307	5786	13001
308	5806	12985
309	5818	12950
310	5837	12933
311	5856	12913
312	5876	12898
313	5897	12883
314	5917	12867
315	5929	12833
316	5949	12819
317	5970	12803
318	5988	12785
319	6008	12767
320	6028	12751
321	6049	12737
322	6069	12721
323	6091	12708
324	6102	12673
325	6122	12657
326	6141	12638
327	6160	12622
328	6181	12607
329	6201	12590
330	6216	12565
331	6236	12548
332	6256	12531
333	6277	12516
334	6297	12500
335	6317	12484
336	6338	12469
337	6359	12454
338	6367	12415
339	6379	12382
340	6398	12364
341	6416	12345
342	6436	12329
343	6448	12297
344	6468	12281
345	6486	12261
346	6507	12245
347	6527	12230
348	6538	12197
349	6559	12181
350	6579	12166
351	6597	12145
352	6607	12111
353	6626	12092
354	6646	12076
355	6666	12059
356	6687	12044
357	6707	12027
358	6727	12012
359	6743	11988
360	6763	11971
361	6783	11954
362	6796	11926
363	6808	11896
364	6816	11859
365	6824	11822
366	6846	11808
367	6867	11793
368	6887	11777
369	6907	11762
370	6928	11746
371	6949	11731
372	6971	11718
373	6982	11687
374	7003	11671
375	7024	11657
376	7044	11641
377	7064	11624
378	7074	11591
379	7095	11576
380	7116	11562
381	7137	11546
382	7158	11531
383	7179	11516
384	7199	11500
385	7219	11484
386	7232	11455
387	7252	11440
388	7261	11406
389	7282	11391
390	7303	11375
391	7324	11360
392	7335	11329
393	7355	11313
394	7375	11296
395	7397	11282
396	7405	11248
397	7425	11232
398	7435	11200
399	7446	11170
400	7467	11155
401	7478	11124
402	7497	11106
403	7518	11091
404	7529	11062
405	7550	11046
406	7570	11030
407	7579	10997
408	7599	10981
409	7620	10966
410	7641	10950
411	7662	10935
412	7674	10907
413	7693	10890
414	7713	10873
415	7723	10842
416	7744	10827
417	7765	10811
418	7773	10778
419	7784	10750
420	7802	10731
421	7813	10701
422	7834	10686
423	7842	10654
424	7855	10627
425	7875	10611
426	7895	10595
427	7904	10563
428	7925	10548
429	7935	10519
430	7955	10502
431	7975	10486
432	7995	10470
433	8016	10454
434	8038	10440
435	8058	10424
436	8069	10396
437	8077	10364
438	8089	10338
439	8097	10306
440	8117	10289
441	8137	10273
442	8157	10256
443	8177	10240
444	8197	10224
445	8219	10209
446	8238	10192
447	8259	10176
448	8280	10161
449	8291	10133
450	8300	10104
451	8322	10089
452	8342	10073
453	8362	10057
454	8374	10030
455	8385	10003
456	8404	9986
457	8415	9959
458	8436	9943
459	8444	9912
460	8454	9884
461	8473	9867
462	8493	9850
463	8514	9835
464	8526	9809
465	8535	9780
466	8556	9765
467	8569	9741
468	8578	9712
469	8598	9696
470	8609	9669
471	8628	9652
472	8648	9635
473	8658	9608
474	8679	9593
475	8687	9563
476	8702	9542
477	8722	9525
478	8743	9510
479	8764	9495
480	8775	9468
481	8783	9439
482	8804	9424
483	8825	9408
484	8846	9393
485	8866	9377
486	8886	9361
487	8906	9344
488	8915	9316
489	8935	9300
490	8950	9278
491	8970	9262
492	8978	9233
493	9000	9219
494	9020	9202
495	9041	9186
496	9062	9171
497	9083	9156
498	9103	9139
499	9123	9123
500	9144	9107
501	9164	9091
502	9173	9064
503	9184	9038
504	9202	9020
505	9222	9004
506	9233	8978
507	9241	8950
508	9261	8934
509	9282	8918
510	9302	8901
511	9312	8875
512	9332	8859
513	9344	8835
514	9364	8819
515	9373	8791
516	9384	8767
